id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4793938,2BD Suite @ The Guesthouse Hotel,24705990,Rick,,Uptown,41.97106,-87.66777,Hotel room,408,2,76,2022-08-28,0.83,11,321,11,2328618
4803582,Coach house Wicker Park- Bucktown,24267774,Barbara,,West Town,41.90596,-87.67569,Entire home/apt,130,2,128,2022-09-04,1.40,1,346,25,R17000013739
4823301,Spacious 1 BdRm Apt. in center of Wrigley/Boystown,22090229,Darrian,,Lake View,41.94544,-87.65169,Entire home/apt,148,2,56,2022-09-04,0.60,1,332,37,R21000064642
4840199,3BD Suite with Fireplace @ The Guesthouse Hotel,24705990,Rick,,Uptown,41.97095,-87.66798,Entire home/apt,586,4,27,2021-06-13,0.30,11,165,0,2328618
4840753,1BD Suite @ The Guesthouse Hotel,24705990,Rick,,Uptown,41.97106,-87.66777,Private room,313,3,32,2022-05-15,0.34,11,195,3,2328618
4852830,Private bedroom in Lincoln Park,597871,Matt,,Lincoln Park,41.91233,-87.65146,Private room,105,2,270,2022-08-28,2.94,1,308,17,R17000015165
4872152,"Simple room, close to trains!",21922655,Angelica,,West Town,41.90637,-87.68954,Private room,48,1,233,2022-08-28,2.53,3,4,30,R21000069383
4907692,River Bungalow in Ravenswood Manor,22632675,Mary And Don,,Lincoln Square,41.96688,-87.69876,Entire home/apt,105,5,12,2021-04-26,0.13,2,0,0,R18000036955
4923963,Charming Brownstone Garden Level,23197213,Doral,,Grand Boulevard,41.80944,-87.61664,Entire home/apt,100,32,29,2022-08-27,0.36,1,345,2,R17000013470
4925062,Charming Row House Historic Pullman,25368785,Ellen,,Pullman,41.687,-87.6076,Private room,50,32,7,2018-06-12,0.08,1,0,0,R20000053645
5074013,Unwind in Style Steps from the Magnificent Mile,10209853,Tatiana & Roupen,,Near North Side,41.89295,-87.62217,Entire home/apt,250,2,308,2022-08-28,3.41,2,149,46,R21000071014
5095370,"Cozy Bedroom near Train, Grocery & Nightlife",25668821,Kam,,Logan Square,41.91832,-87.68851,Private room,36,32,87,2020-03-07,0.97,11,46,0,R17000013737
5102125,Private BR in Condo close to Chicago Dwtwn!,10613587,Saurin,,West Town,41.89492,-87.65926,Private room,84,1,187,2022-09-08,2.43,4,139,57,R21000073001
5117490,Entire Floor of a Modern Duplex,1407749,Vladimir,,West Town,41.89998,-87.69244,Private room,88,2,188,2022-04-10,2.04,1,57,9,R17000013876
5126218,"Rooftop deck, spacious, comfortable",13228002,Martha,,Logan Square,41.92026,-87.67979,Entire home/apt,150,30,5,2021-08-12,0.07,1,95,0,R17000014777
5185790,"Unique 6,000 Foot Converted Factory",26819996,Jon,,West Town,41.8911,-87.66947,Entire home/apt,5000,32,0,,,1,357,0,City registration pending
5195252,Room with large private balcony,26874445,Sebastien,,West Town,41.90451,-87.67943,Private room,57,2,170,2022-09-12,1.96,2,32,53,R21000064479
